Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
Total;1412989;1431478;1449779;1467474;1485318;1503482;1520448;1537350;1555229;1572866;1590248;1607363;1624183;1640666;1656791;1672538;1687892;1702843;1717358;1731421;1745035;1758194;1770890;1783128;1794915;1806253;1817130;1827541;1837489;1846977;1856004;1864567;1872665;1880302;1887474;1894176;1900401;1906149;1911418;1916198;1920482;1924271;1927565;1930355;1932631;1934389;1935636;1936381;1936619;1936347;1935575;
0-4;131747;129395;127957;126607;125667;125808;124837;124055;124911;125433;125436;126415;127213;126749;126215;125599;124902;124135;123318;122447;121554;120629;119669;118710;117782;116882;116018;115197;114425;113691;112992;112334;111718;111145;110605;110088;109587;109110;108641;108170;107693;107217;106734;106235;105723;105188;104636;104071;103486;102891;102288;
5-9;136769;136807;136184;134717;133441;131497;129164;127741;126403;125475;125619;124661;123886;124744;125269;125276;126257;127061;126596;126069;125454;124765;124007;123202;122338;121452;120532;119582;118628;117706;116812;115951;115139;114371;113640;112944;112291;111678;111107;110567;110058;109558;109083;108617;108147;107672;107198;106719;106225;105712;105179;
10-14;146144;144720;142623;140704;138734;137310;137343;136717;135251;133973;132027;129692;128265;126923;125988;126124;125159;124379;125228;125744;125740;126711;127507;127034;126508;125895;125211;124456;123655;122797;121917;121000;120052;119103;118183;117291;116436;115626;114859;114134;113438;112786;112176;111610;111071;110565;110068;109590;109124;108659;108186;
15-19;141135;142461;143892;145156;145848;145737;144332;142251;140351;138398;136994;137035;136418;134961;133694;131759;129437;128018;126687;125759;125899;124937;124161;125014;125532;125536;126504;127302;126836;126314;125705;125028;124278;123482;122629;121756;120845;119900;118955;118040;117150;116303;115499;114730;114010;113320;112669;112062;111501;110961;110459;
20-24;133584;134522;135580;136751;138007;139314;140662;142122;143409;144130;144051;142687;140652;138799;136888;135521;135589;135003;133575;132336;130439;128154;126759;125448;124539;124684;123740;122979;123834;124356;124366;125338;126137;125679;125167;124565;123894;123153;122368;121522;120656;119752;118816;117881;116971;116089;115248;114450;113689;112975;112288;
25-29;126807;128093;129150;130057;130923;131815;132785;133868;135066;136343;137673;139038;140517;141822;142567;142518;141195;139202;137395;135529;134195;134284;133727;132334;131124;129258;127009;125632;124347;123457;123615;122685;121941;122799;123328;123346;124319;125118;124668;124167;123578;122917;122184;121411;120577;119719;118827;117902;116975;116074;115201;
30-34;115959;118910;121279;123168;124787;126270;127564;128630;129550;130427;131322;132300;133387;134584;135857;137183;138543;140018;141318;142061;142022;140720;138757;136977;135140;133835;133935;133400;132034;130848;129012;126797;125440;124175;123302;123470;122555;121824;122684;123215;123240;124211;125013;124572;124081;123501;122851;122126;121364;120543;119694;
35-39;96636;99979;103959;108244;112289;115755;118684;121039;122917;124529;126007;127297;128358;129276;130152;131045;132016;133094;134282;135544;136856;138206;139671;140970;141715;141693;140421;138493;136744;134942;133662;133772;133253;131912;130747;128934;126749;125416;124169;123310;123483;122587;121865;122727;123257;123290;124256;125057;124625;124140;123570;
40-44;86077;88054;89706;91321;93358;96068;99375;103313;107549;111552;114987;117887;120222;122093;123697;125167;126453;127512;128429;129301;130192;131159;132232;133419;134682;135997;137352;138820;140120;140873;140868;139626;137739;136025;134258;133010;133130;132625;131310;130168;128386;126233;124927;123701;122861;123039;122160;121452;122309;122841;122882;
45-49;72221;74743;77381;80022;82490;84707;86673;88317;89929;91952;94634;97906;101797;105976;109931;113330;116202;118517;120375;121974;123437;124720;125781;126702;127583;128482;129457;130534;131727;132990;134303;135655;137116;138411;139170;139178;137969;136126;134451;132725;131507;131638;131147;129860;128743;126997;124884;123607;122404;121584;121766;
50-54;58920;60993;63180;65464;67823;70231;72718;75318;77922;80356;82545;84489;86122;87725;89730;92373;95597;99426;103533;107420;110762;113592;115878;117719;119309;120771;122047;123112;124038;124924;125828;126807;127880;129070;130321;131626;132967;134412;135696;136451;136472;135296;133506;131884;130206;129028;129169;128696;127442;126354;124649;
55-59;47900;49585;51255;52950;54738;56659;58684;60825;63057;65362;67721;70154;72698;75245;77624;79776;81683;83288;84870;86838;89428;92578;96318;100324;104118;107383;110154;112400;114209;115776;117221;118483;119540;120463;121346;122242;123215;124276;125451;126682;127966;129286;130700;131961;132712;132740;131604;129876;128314;126698;125569;
60-64;37392;38880;40446;42067;43708;45339;46974;48593;50239;51972;53833;55792;57859;60015;62243;64517;66867;69326;71783;74085;76165;78014;79572;81111;83025;85531;88585;92193;96058;99718;102866;105544;107718;109470;110996;112404;113630;114664;115566;116436;117312;118266;119301;120443;121639;122882;124167;125533;126754;127479;127508;
65-69;28673;29643;30734;31930;33204;34547;35958;37439;38975;40532;42077;43629;45168;46735;48380;50147;52003;53959;55997;58102;60252;62476;64806;67137;69319;71296;73048;74534;76004;77828;80210;83109;86528;90185;93642;96621;99156;101217;102882;104336;105680;106847;107842;108704;109540;110384;111297;112288;113376;114514;115697;
70-74;22170;22728;23234;23755;24378;25158;26063;27075;28178;29350;30583;31880;33240;34647;36078;37493;38922;40337;41782;43297;44922;46625;48415;50280;52208;54176;56217;58356;60495;62496;64310;65914;67281;68639;70326;72519;75188;78322;81666;84825;87546;89861;91744;93273;94607;95849;96926;97846;98645;99425;100207;
75-79;14778;15431;16141;16856;17510;18073;18577;19046;19524;20094;20791;21589;22483;23446;24467;25546;26677;27862;29089;30334;31568;32813;34056;35319;36647;38068;39554;41111;42730;44408;46120;47896;49763;51626;53366;54944;56335;57530;58723;60201;62123;64456;67188;70095;72834;75186;77189;78824;80155;81319;82408;
80-84;8918;9268;9628;10017;10452;10935;11460;12033;12611;13138;13598;14020;14411;14822;15302;15875;16523;17252;18031;18858;19728;20641;21593;22584;23587;24584;25591;26598;27626;28704;29856;31056;32307;33609;34958;36339;37773;39278;40781;42182;43446;44562;45525;46492;47697;49262;51157;53365;55706;57902;59782;
85-89;4349;4551;4756;4967;5191;5426;5678;5934;6218;6531;6872;7236;7640;8042;8411;8739;9045;9333;9638;9992;10408;10870;11391;11946;12530;13143;13786;14459;15160;15865;16567;17281;17995;18726;19492;20308;21156;22036;22952;23902;24875;25890;26952;28012;28993;29875;30652;31327;32017;32881;34008;
90+;2810;2715;2694;2721;2770;2833;2917;3034;3169;3319;3478;3656;3847;4062;4298;4550;4822;5121;5432;5731;6014;6300;6590;6898;7229;7587;7969;8383;8819;9284;9774;10291;10840;11412;11998;12591;13206;13838;14489;15165;15873;16605;17363;18147;18962;19803;20678;21590;22508;23395;24234;
