Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
Total;717988;726648;735205;743446;751758;760230;768086;775907;784227;792423;800489;808419;816200;823811;831241;838481;845525;852367;858991;865389;871563;877511;883228;888719;893988;899036;903857;908450;912816;916957;920873;924562;928025;931265;934279;937067;939624;941951;944048;945911;947537;948928;950086;951006;951684;952117;952310;952269;951991;951475;950727;
0-4;67442;66215;65461;64756;64268;64338;63843;63443;63884;64153;64155;64658;65066;64831;64559;64245;63889;63498;63080;62636;62180;61707;61216;60726;60251;59790;59347;58927;58532;58157;57798;57462;57146;56853;56576;56312;56055;55811;55571;55330;55085;54842;54594;54339;54076;53804;53520;53230;52931;52626;52317;
5-9;69835;69927;69650;68917;68265;67254;66037;65294;64595;64113;64187;63700;63305;63746;64016;64021;64527;64938;64704;64434;64123;63773;63388;62976;62536;62084;61615;61130;60643;60170;59714;59272;58858;58465;58092;57733;57401;57086;56795;56518;56260;56003;55761;55522;55282;55037;54796;54552;54298;54035;53764;
10-14;74749;73922;72764;71719;70676;69956;70047;69771;69042;68392;67383;66167;65426;64728;64245;64316;63828;63434;63872;64142;64143;64644;65052;64816;64546;64236;63889;63505;63096;62660;62211;61744;61260;60776;60305;59851;59411;59000;58607;58237;57878;57547;57235;56946;56669;56412;56158;55914;55676;55439;55196;
15-19;71646;72421;73250;73976;74370;74300;73487;72342;71313;70285;69580;69679;69410;68690;68049;67052;65847;65114;64427;63950;64026;63543;63154;63597;63872;63878;64377;64785;64553;64287;63981;63638;63258;62853;62420;61976;61514;61031;60550;60083;59631;59195;58787;58395;58028;57673;57342;57033;56747;56470;56216;
20-24;67266;67752;68311;68943;69643;70398;71189;72035;72776;73189;73140;72355;71244;70246;69251;68571;68687;68438;67739;67118;66147;64968;64252;63578;63115;63196;62726;62348;62793;63070;63081;63583;63993;63765;63507;63207;62869;62497;62099;61672;61232;60776;60301;59827;59364;58918;58488;58083;57697;57334;56982;
25-29;63263;63944;64504;64985;65441;65908;66415;66994;67644;68358;69129;69933;70790;71545;71974;71946;71194;70117;69155;68194;67540;67672;67445;66770;66172;65225;64074;63375;62721;62274;62365;61906;61539;61989;62270;62287;62790;63199;62978;62728;62440;62110;61744;61356;60939;60507;60057;59593;59125;58669;58231;
30-34;57525;58874;60025;61002;61865;62648;63338;63906;64397;64864;65336;65851;66435;67087;67800;68570;69372;70228;70979;71412;71394;70662;69609;68672;67731;67101;67240;67030;66375;65796;64872;63747;63064;62426;61991;62090;61643;61286;61738;62021;62042;62544;62955;62740;62500;62216;61898;61537;61157;60751;60325;
35-39;48965;50465;52172;53977;55697;57219;58556;59699;60669;61527;62308;62996;63563;64053;64522;64995;65506;66085;66734;67439;68202;68998;69847;70597;71034;71028;70318;69290;68375;67459;66845;66991;66793;66154;65592;64685;63579;62914;62288;61863;61966;61532;61182;61634;61916;61943;62441;62851;62644;62408;62130;
40-44;43479;44506;45427;46337;47390;48670;50144;51824;53600;55293;56795;58110;59239;60201;61049;61822;62505;63069;63554;64020;64488;64994;65570;66217;66922;67685;68484;69332;70084;70525;70531;69842;68841;67952;67058;66465;66619;66430;65809;65262;64375;63291;62645;62034;61621;61729;61305;60965;61413;61696;61728;
