Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
Total;695001;704830;714574;724028;733560;743252;752362;761443;771002;780443;789759;798944;807983;816855;825550;834057;842367;850476;858367;866032;873472;880683;887662;894409;900927;907217;913273;919091;924673;930020;935131;940005;944640;949037;953195;957109;960777;964198;967370;970287;972945;975343;977479;979349;980947;982272;983326;984112;984628;984872;984848;
0-4;64305;63180;62496;61851;61399;61470;60994;60612;61027;61280;61281;61757;62147;61918;61656;61354;61013;60637;60238;59811;59374;58922;58453;57984;57531;57092;56671;56270;55893;55534;55194;54872;54572;54292;54029;53776;53532;53299;53070;52840;52608;52375;52140;51896;51647;51384;51116;50841;50555;50265;49971;
5-9;66934;66880;66534;65800;65176;64243;63127;62447;61808;61362;61432;60961;60581;60998;61253;61255;61730;62123;61892;61635;61331;60992;60619;60226;59802;59368;58917;58452;57985;57536;57098;56679;56281;55906;55548;55211;54890;54592;54312;54049;53798;53555;53322;53095;52865;52635;52402;52167;51927;51677;51415;
10-14;71395;70798;69859;68985;68058;67354;67296;66946;66209;65581;64644;63525;62839;62195;61743;61808;61331;60945;61356;61602;61597;62067;62455;62218;61962;61659;61322;60951;60559;60137;59706;59256;58792;58327;57878;57440;57025;56626;56252;55897;55560;55239;54941;54664;54402;54153;53910;53676;53448;53220;52990;
15-19;69489;70040;70642;71180;71478;71437;70845;69909;69038;68113;67414;67356;67008;66271;65645;64707;63590;62904;62260;61809;61873;61394;61007;61417;61660;61658;62127;62517;62283;62027;61724;61390;61020;60629;60209;59780;59331;58869;58405;57957;57519;57108;56712;56335;55982;55647;55327;55029;54754;54491;54243;
20-24;66318;66770;67269;67808;68364;68916;69473;70087;70633;70941;70911;70332;69408;68553;67637;66950;66902;66565;65836;65218;64292;63186;62507;61870;61424;61488;61014;60631;61041;61286;61285;61755;62144;61914;61660;61358;61025;60656;60269;59850;59424;58976;58515;58054;57607;57171;56760;56367;55992;55641;55306;
25-29;63544;64149;64646;65072;65482;65907;66370;66874;67422;67985;68544;69105;69727;70277;70593;70572;70001;69085;68240;67335;66655;66612;66282;65564;64952;64033;62935;62257;61626;61183;61250;60779;60402;60810;61058;61059;61529;61919;61690;61439;61138;60807;60440;60055;59638;59212;58770;58309;57850;57405;56970;
30-34;58434;60036;61254;62166;62922;63622;64226;64724;65153;65563;65986;66449;66952;67497;68057;68613;69171;69790;70339;70649;70628;70058;69148;68305;67409;66734;66695;66370;65659;65052;64140;63050;62376;61749;61311;61380;60912;60538;60946;61194;61198;61667;62058;61832;61581;61285;60953;60589;60207;59792;59369;
35-39;47671;49514;51787;54267;56592;58536;60128;61340;62248;63002;63699;64301;64795;65223;65630;66050;66510;67009;67548;68105;68654;69208;69824;70373;70681;70665;70103;69203;68369;67483;66817;66781;66460;65758;65155;64249;63170;62502;61881;61447;61517;61055;60683;61093;61341;61347;61815;62206;61981;61732;61440;
40-44;42598;43548;44279;44984;45968;47398;49231;51489;53949;56259;58192;59777;60983;61892;62648;63345;63948;64443;64875;65281;65704;66165;66662;67202;67760;68312;68868;69488;70036;70348;70337;69784;68898;68073;67200;66545;66511;66195;65501;64906;64011;62942;62282;61667;61240;61310;60855;60487;60896;61145;61154;
45-49;35301;36647;38092;39549;40877;42009;42959;43693;44403;45385;46808;48628;50868;53305;55597;57516;59092;60292;61199;61958;62655;63260;63759;64194;64605;65032;65497;65994;66537;67097;67648;68205;68824;69372;69686;69679;69137;68265;67451;66591;65945;65916;65607;64921;64334;63452;62395;61746;61136;60718;60788;
50-54;28898;29967;31053;32171;33352;34606;35938;37366;38806;40119;41239;42182;42916;43625;44602;46012;47810;50023;52424;54684;56575;58133;59320;60223;60980;61678;62280;62782;63221;63634;64065;64531;65027;65571;66127;66678;67232;67848;68395;68708;68705;68174;67319;66525;65682;65051;65029;64727;64056;63478;62610;
55-59;23160;24095;25043;26010;27005;28034;29083;30153;31252;32413;33648;34956;36358;37772;39059;40164;41095;41820;42526;43488;44878;46640;48810;51160;53375;55229;56762;57932;58823;59574;60268;60867;61368;61807;62222;62650;63115;63609;64149;64700;65249;65796;66404;66945;67259;67260;66742;65911;65140;64323;63713;
60-64;17864;18677;19526;20401;21292;22190;23103;24027;24971;25940;26944;27966;29009;30082;31215;32415;33688;35053;36427;37683;38759;39671;40383;41078;42021;43375;45095;47203;49487;51637;53438;54932;56073;56944;57683;58365;58954;59448;59882;60295;60715;61178;61663;62192;62734;63272;63811;64405;64935;65242;65246;
65-69;13576;14129;14748;15423;16137;16884;17662;18473;19311;20166;21025;21901;22787;23691;24621;25584;26564;27565;28594;29679;30828;32046;33357;34674;35879;36915;37791;38480;39157;40069;41373;43023;45044;47230;49283;51007;52437;53533;54372;55086;55748;56315;56799;57220;57622;58031;58481;58953;59463;59987;60508;
70-74;10567;10872;11151;11443;11798;12247;12768;13350;13981;14647;15344;16070;16828;17608;18407;19209;20028;20856;21701;22570;23471;24388;25321;26284;27299;28372;29511;30737;31964;33088;34057;34877;35525;36167;37028;38253;39798;41682;43714;45621;47222;48552;49571;50358;51027;51652;52188;52645;53045;53427;53814;
75-79;7020;7369;7754;8146;8507;8818;9100;9364;9638;9969;10379;10848;11371;11936;12527;13151;13801;14475;15172;15885;16602;17332;18075;18830;19608;20416;21235;22070;22929;23838;24796;25812;26908;27999;29001;29864;30595;31179;31763;32540;33643;35026;36704;38508;40197;41611;42786;43693;44399;45000;45565;
80-84;4271;4472;4676;4893;5134;5399;5690;6010;6338;6638;6900;7143;7371;7613;7901;8245;8635;9076;9546;10038;10558;11099;11659;12240;12834;13432;14043;14662;15295;15947;16622;17307;18003;18722;19481;20283;21132;22046;22954;23788;24505;25113;25606;26102;26761;27692;28852;30250;31745;33141;34307;
85-89;2161;2237;2328;2435;2557;2697;2845;2996;3159;3340;3535;3747;3981;4218;4435;4630;4813;4988;5175;5395;5653;5942;6268;6616;6976;7357;7753;8165;8594;9028;9468;9919;10375;10842;11323;11820;12326;12838;13369;13930;14522;15150;15823;16488;17096;17617;18060;18424;18799;19299;20001;
90+;1495;1450;1437;1444;1462;1485;1524;1583;1656;1740;1834;1940;2054;2181;2324;2477;2645;2827;3019;3207;3385;3568;3753;3951;4169;4402;4654;4927;5215;5522;5845;6186;6548;6925;7313;7712;8126;8554;8995;9449;9918;10399;10890;11399;11932;12490;13074;13687;14300;14889;15438;
